round,expected goals,venue_xg,opponent_xg,goals,shots,touches,ast,passcmp,passcmp%,min,poss,gca,sca,gls,sh,rolling_expected goals,cumulative_expected goals,rolling_goals,cumulative_goals,rolling_shots,cumulative_shots,rolling_touches,cumulative_touches,rolling_poss,cumulative_poss,rolling_gca,cumulative_gca,rolling_sca,cumulative_sca,rolling_haaland_gls,cumulative_haaland_gls,rolling_haaland_ast,cumulative_haaland_ast,rolling_haaland_sh,cumulative_haaland_sh,rolling_haaland_min,cumulative_haaland_min,rolling_haaland_touches,cumulative_haaland_touches,rolling_haaland_poss,cumulative_haaland_poss,rolling_haaland_gca,cumulative_haaland_gca,rolling_haaland_sca,cumulative_haaland_sca,haaland_performance_rating,rolling_haaland_rating,cumulative_haaland_rating,defenders,midfielders,forwards,defenders_opp,midfielders_opp,forwards_opp,opponent_strength,opponent_haaland,venue_haaland,days_since_first_match,result,total_shots_team,total_sot_team,total_xg_team,total_possession,goals_per_match_team,goals_conceded_per_match_team,goals_scored_haaland,sot_haaland,expected_goals_haaland,non_penalty_xg_haaland,xg_per_shot_haaland,shot_accuracy_haaland,goals_per_shot_haaland,assists_haaland,minutes_played_haaland,xg_per_minute_haaland,goals_per_minute_haaland,sca_per_minute_haaland,gca_per_minute_haaland,match_impact_haaland,home_away,match_event_influence,match_tempo
2,1.0,Home,Newcastle Utd,4,56,88,0,24,54.5,90.0,59.0,0.0,2.0,0,16,1.45,1.45,14.0,14.0,96.0,96.0,116.0,116.0,62.0,62.0,0.0,0.0,2.5,2.5,8.0,8.0,0.0,0.0,24.0,24.0,84.5,84.5,116.0,116.0,62.0,62.0,0.0,0.0,2.5,2.5,0.0111111111111111,0.4226441631504923,0.4226441631504923,4,5,1,4,3,3,0.96,13.0,1.0,8.0,2.0,14.0,4.0,1.0,59.0,0.5,0.0,0.0,4.0,1.0,1.0,0.0714285714285714,0.2857142857142857,0.0714285714285714,0.0,90.0,0.0111111111111111,0.0111111111111111,0.0222222222222222,0.0,3.0,0.0,1.0,0.1555555555555555
2,1.0,Home,Newcastle Utd,4,56,88,0,24,54.5,90.0,59.0,0.0,2.0,0,16,1.45,1.45,14.0,14.0,96.0,96.0,116.0,116.0,62.0,62.0,0.0,0.0,2.5,2.5,8.0,8.0,0.0,0.0,24.0,24.0,84.5,84.5,116.0,116.0,62.0,62.0,0.0,0.0,2.5,2.5,0.0111111111111111,0.4226441631504923,0.4226441631504923,4,5,1,4,3,3,0.96,13.0,1.0,8.0,2.0,14.0,4.0,1.0,59.0,0.5,0.0,0.0,4.0,1.0,1.0,0.0714285714285714,0.2857142857142857,0.0714285714285714,0.0,90.0,0.0111111111111111,0.0111111111111111,0.0222222222222222,0.0,3.0,0.0,1.0,0.1555555555555555
3,3.5,Away,Sheffield Utd,16,232,184,0,48,54.5,90.0,79.0,1.0,2.0,8,56,2.1333333333333333,2.1333333333333333,14.666666666666666,14.666666666666666,141.33333333333334,141.33333333333334,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,8.0,8.0,0.0,0.0,34.666666666666664,34.666666666666664,86.33333333333333,86.33333333333333,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,0.3944444444444444,0.413244256915143,0.413244256915143,4,5,1,3,5,2,-1.03,15.0,0.0,16.0,2.0,29.0,9.0,3.5,79.0,0.6666666666666666,0.3333333333333333,1.0,9.0,3.5,2.8,0.1206896551724138,0.3103448275862069,0.0689655172413793,0.0,90.0,0.0388888888888888,0.0222222222222222,0.0222222222222222,0.0111111111111111,4.0,0.0,1.0,0.3222222222222222
3,3.5,Away,Sheffield Utd,16,232,184,0,48,54.5,90.0,79.0,1.0,2.0,8,56,2.1333333333333333,2.1333333333333333,14.666666666666666,14.666666666666666,141.33333333333334,141.33333333333334,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,8.0,8.0,0.0,0.0,34.666666666666664,34.666666666666664,86.33333333333333,86.33333333333333,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,0.3944444444444444,0.413244256915143,0.413244256915143,4,5,1,3,5,2,-1.03,15.0,0.0,16.0,2.0,29.0,9.0,3.5,79.0,0.6666666666666666,0.3333333333333333,1.0,9.0,3.5,2.8,0.1206896551724138,0.3103448275862069,0.0689655172413793,0.0,90.0,0.0388888888888888,0.0222222222222222,0.0222222222222222,0.0111111111111111,4.0,0.0,1.0,0.3222222222222222
3,3.5,Away,Sheffield Utd,16,232,184,0,48,54.5,90.0,79.0,1.0,2.0,8,56,2.1333333333333333,2.1333333333333333,14.666666666666666,14.666666666666666,141.33333333333334,141.33333333333334,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,8.0,8.0,0.0,0.0,34.666666666666664,34.666666666666664,86.33333333333333,86.33333333333333,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,0.3944444444444444,0.413244256915143,0.413244256915143,4,5,1,3,5,2,-1.03,15.0,0.0,16.0,2.0,29.0,9.0,3.5,79.0,0.6666666666666666,0.3333333333333333,1.0,9.0,3.5,2.8,0.1206896551724138,0.3103448275862069,0.0689655172413793,0.0,90.0,0.0388888888888888,0.0222222222222222,0.0222222222222222,0.0111111111111111,4.0,0.0,1.0,0.3222222222222222
3,3.5,Away,Sheffield Utd,16,232,184,0,48,54.5,90.0,79.0,1.0,2.0,8,56,2.1333333333333333,2.1333333333333333,14.666666666666666,14.666666666666666,141.33333333333334,141.33333333333334,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,8.0,8.0,0.0,0.0,34.666666666666664,34.666666666666664,86.33333333333333,86.33333333333333,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,0.3944444444444444,0.413244256915143,0.413244256915143,4,5,1,3,5,2,-1.03,15.0,0.0,16.0,2.0,29.0,9.0,3.5,79.0,0.6666666666666666,0.3333333333333333,1.0,9.0,3.5,2.8,0.1206896551724138,0.3103448275862069,0.0689655172413793,0.0,90.0,0.0388888888888888,0.0222222222222222,0.0222222222222222,0.0111111111111111,4.0,0.0,1.0,0.3222222222222222
3,3.5,Away,Sheffield Utd,16,232,184,0,48,54.5,90.0,79.0,1.0,2.0,8,56,2.1333333333333333,2.1333333333333333,14.666666666666666,14.666666666666666,141.33333333333334,141.33333333333334,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,8.0,8.0,0.0,0.0,34.666666666666664,34.666666666666664,86.33333333333333,86.33333333333333,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,0.3944444444444444,0.413244256915143,0.413244256915143,4,5,1,3,5,2,-1.03,15.0,0.0,16.0,2.0,29.0,9.0,3.5,79.0,0.6666666666666666,0.3333333333333333,1.0,9.0,3.5,2.8,0.1206896551724138,0.3103448275862069,0.0689655172413793,0.0,90.0,0.0388888888888888,0.0222222222222222,0.0222222222222222,0.0111111111111111,4.0,0.0,1.0,0.3222222222222222
3,3.5,Away,Sheffield Utd,16,232,184,0,48,54.5,90.0,79.0,1.0,2.0,8,56,2.1333333333333333,2.1333333333333333,14.666666666666666,14.666666666666666,141.33333333333334,141.33333333333334,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,8.0,8.0,0.0,0.0,34.666666666666664,34.666666666666664,86.33333333333333,86.33333333333333,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,0.3944444444444444,0.413244256915143,0.413244256915143,4,5,1,3,5,2,-1.03,15.0,0.0,16.0,2.0,29.0,9.0,3.5,79.0,0.6666666666666666,0.3333333333333333,1.0,9.0,3.5,2.8,0.1206896551724138,0.3103448275862069,0.0689655172413793,0.0,90.0,0.0388888888888888,0.0222222222222222,0.0222222222222222,0.0111111111111111,4.0,0.0,1.0,0.3222222222222222
3,3.5,Away,Sheffield Utd,16,232,184,0,48,54.5,90.0,79.0,1.0,2.0,8,56,2.1333333333333333,2.1333333333333333,14.666666666666666,14.666666666666666,141.33333333333334,141.33333333333334,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,8.0,8.0,0.0,0.0,34.666666666666664,34.666666666666664,86.33333333333333,86.33333333333333,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,0.3944444444444444,0.413244256915143,0.413244256915143,4,5,1,3,5,2,-1.03,15.0,0.0,16.0,2.0,29.0,9.0,3.5,79.0,0.6666666666666666,0.3333333333333333,1.0,9.0,3.5,2.8,0.1206896551724138,0.3103448275862069,0.0689655172413793,0.0,90.0,0.0388888888888888,0.0222222222222222,0.0222222222222222,0.0111111111111111,4.0,0.0,1.0,0.3222222222222222
3,3.5,Away,Sheffield Utd,16,232,184,0,48,54.5,90.0,79.0,1.0,2.0,8,56,2.1333333333333333,2.1333333333333333,14.666666666666666,14.666666666666666,141.33333333333334,141.33333333333334,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,8.0,8.0,0.0,0.0,34.666666666666664,34.666666666666664,86.33333333333333,86.33333333333333,138.66666666666666,138.66666666666666,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.333333333333333,2.333333333333333,0.3944444444444444,0.413244256915143,0.413244256915143,4,5,1,3,5,2,-1.03,15.0,0.0,16.0,2.0,29.0,9.0,3.5,79.0,0.6666666666666666,0.3333333333333333,1.0,9.0,3.5,2.8,0.1206896551724138,0.3103448275862069,0.0689655172413793,0.0,90.0,0.0388888888888888,0.0222222222222222,0.0222222222222222,0.0111111111111111,4.0,0.0,1.0,0.3222222222222222
